dataset,window_idx,persona,history_length,horizon,overall_consistency,is_consistent,contradiction_rate,semantic_vs_template,num_sentences,mase,mase_first,fair_mase,coverage_pct,interval_sharpness,rst_relations,top_covariate,top_covariate_impact_pct
Weather,33,analyst,512,96,0.6355859351654848,False,0.16666666666666666,0.8771764039993286,6,0.7337582793066949,0.4060171800471851,0.29712659613530434,97.91666666666666,0.4788259597083603,"elaboration,cause",temp_min,34.948268978996936
Weather,33,executive,512,96,0.5521613231727055,False,0.14285714285714285,0.8893188238143921,7,0.7337582793066949,0.4060171800471851,0.29712659613530434,97.91666666666666,0.4788259597083603,"elaboration,cause",temp_min,34.948268978996936
Weather,34,analyst,512,96,0.7000194241603216,True,0.0,0.8854598862480981,6,0.7408112691947822,1.1545640546354428,0.47605759200660436,93.75,0.4804019070743175,"elaboration,cause",temp_min,35.73511748896924
Weather,34,executive,512,96,0.8415455967187881,True,0.0,0.82716708345217,4,0.7408112691947822,1.1545640546354428,0.47605759200660436,93.75,0.4804019070743175,"elaboration,cause",temp_min,35.73511748896924
Weather,35,analyst,512,96,0.8601647019386292,True,0.0,0.8715134186454665,6,0.7511540968259678,1.1455058364392208,0.47614963451196624,92.70833333333334,0.4570414125919342,"elaboration,cause",temp_min,35.57955910688011
Weather,35,executive,512,96,0.7216682314872742,True,0.2,0.8382326364517212,5,0.7511540968259678,1.1455058364392208,0.47614963451196624,92.70833333333334,0.4570414125919342,"elaboration,cause",temp_min,35.57955910688011
Weather,36,analyst,512,96,0.7408091872930527,True,0.0,0.7711246336847107,4,0.7418870289656729,0.07847970827133972,0.37534704415694525,93.75,0.45136292116918814,cause,temp_min,34.97775336981502
Weather,36,executive,512,96,0.6966827809810638,False,0.0,0.8078150291001867,4,0.7418870289656729,0.07847970827133972,0.37534704415694525,93.75,0.45136292116918814,cause,temp_min,34.97775336981502
Weather,37,analyst,512,96,0.5978165566921234,False,0.25,0.7927072397121476,4,0.7796165256232699,1.6500634563589447,0.337051541530912,87.5,0.4300489716985253,cause,temp_min,36.107158390002816
Weather,37,executive,512,96,0.60130675137043,False,0.25,0.7724065509327115,4,0.7796165256232699,1.6500634563589447,0.337051541530912,87.5,0.4300489716985253,cause,temp_min,36.107158390002816
Weather,38,analyst,512,96,0.7260123252868652,True,0.0,0.7893068413687064,5,0.8883118527904195,0.8174832439414224,0.6826052960732001,84.375,0.4494459652631296,cause,temp_min,36.809303732029896
Weather,38,executive,512,96,0.624824907630682,False,0.25,0.7776559326238552,4,0.8883118527904195,0.8174832439414224,0.6826052960732001,84.375,0.4494459652631296,cause,temp_min,36.809303732029896
Weather,39,analyst,512,96,0.788347323735555,True,0.0,0.863092116301782,6,0.8365955325894417,0.7613901000140835,0.5928520220432708,90.625,0.4591605650952082,"elaboration,cause",temp_min,35.629116059802975
Weather,39,executive,512,96,0.8464012026786805,True,0.0,0.8017419458473889,5,0.8365955325894417,0.7613901000140835,0.5928520220432708,90.625,0.4591605650952082,"elaboration,cause",temp_min,35.629116059802975
Weather,40,analyst,512,96,0.7932937095562617,True,0.0,0.8372573159490416,6,0.7954622391894564,0.23483538722729894,0.33062256324709716,94.79166666666666,0.5058233967671791,"elaboration,cause",temp_min,35.53891982644282
Weather,40,executive,512,96,0.56906544752419,False,0.2,0.63470975367485,5,0.7954622391894564,0.23483538722729894,0.33062256324709716,94.79166666666666,0.5058233967671791,"elaboration,cause",temp_min,35.53891982644282
Weather,41,analyst,512,96,0.660391652584076,False,0.2,0.8800592350995085,5,0.8086391440147057,0.8735745960627068,0.5035502064977536,92.70833333333334,0.49108196509381136,"elaboration,cause",temp_min,36.25966660966189
Weather,41,executive,512,96,0.5942943904548883,False,0.2,0.7267907099003023,5,0.8086391440147057,0.8735745960627068,0.5035502064977536,92.70833333333334,0.49108196509381136,"elaboration,cause",temp_min,36.25966660966189
Weather,42,analyst,512,96,0.7493132278323174,True,0.0,0.8596083438163009,4,0.891518795727328,1.205282306356005,0.7577174893774168,85.41666666666666,0.49430704278250537,"elaboration,cause",temp_min,36.28868394218491
Weather,42,executive,512,96,0.7239944636821747,True,0.0,0.8429405689239502,4,0.891518795727328,1.205282306356005,0.7577174893774168,85.41666666666666,0.49430704278250537,"elaboration,cause",temp_min,36.28868394218491
Weather,43,analyst,512,96,0.6979016810655594,False,0.0,0.8567492961883545,6,0.8645431877116403,1.8295553100193254,0.472112166169402,87.5,0.5091402592758338,"elaboration,cause",temp_min,34.576741421251995
